Time(ms),qx,pt_a003,pt_a009,lc_a016,lc_a017,lc_a018,lc_a019,lc_a020,lc_a021,log_enable_tkbk,log_enable_cmd,sv_a010_tkbk,sv_a010_cmd,sv_a011_tkbk,sv_a011_cmd,sv_a012_tkbk,sv_a012_cmd,sv_a013_tkbk,sv_a013_cmd,sv_a014_tkbk,sv_a014_cmd,sv_a015_tkbk,sv_a015_cmd
13327,0.0,2614.0,2814.0,0.0,528.8758,8388607.0,-6305.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13410,0.0,2734.0,2805.0,0.0,528.3077,8388607.0,-6493.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13484,0.0,3276.0,2811.0,0.0,528.5699,8388607.0,-6252.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13572,0.0,2745.0,2805.0,0.0,528.3423,8388607.0,-6465.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13645,0.0,2636.0,2804.0,0.0,528.99603,8388607.0,-6465.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13718,0.0,2845.0,2810.0,0.0,528.1055,8388607.0,-6365.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13792,0.0,2500.0,2809.0,0.0,529.0652,8388607.0,-6275.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13881,0.0,2787.0,2800.0,0.0,528.65,8388607.0,-6340.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13947,0.0,3209.0,2810.0,0.0,528.32043,8388607.0,-6321.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14049,0.0,2835.0,2803.0,0.0,528.37866,8388607.0,-6506.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14123,0.0,2800.0,2807.0,0.0,528.5571,8388607.0,-6346.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14193,0.0,2779.0,2803.0,0.0,528.1183,8388607.0,-6309.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14267,0.0,2487.0,2801.0,0.0,528.5025,8388607.0,-6407.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14332,0.0,2835.0,2803.0,0.0,529.189,8388607.0,-6347.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14437,0.0,3062.0,2804.0,0.0,528.69556,8388607.0,-6407.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14503,0.0,2433.0,2804.0,0.0,529.0087,8388607.0,-6515.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14590,0.0,3148.0,2807.0,0.0,528.874,8388607.0,-6387.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14656,0.0,2813.0,2799.0,0.0,528.5171,8388607.0,-6409.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14742,0.0,2374.0,2808.0,0.0,528.2949,8388607.0,-6449.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14826,0.0,2894.0,2803.0,0.0,528.5134,8388607.0,-6560.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14894,0.0,2763.0,2808.0,0.0,528.28217,8388607.0,-6356.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14983,0.0,2709.0,2810.0,0.0,528.9104,8388607.0,-6543.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15055,0.0,3213.0,2808.0,0.0,528.4916,8388607.0,-6510.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15145,0.0,2801.0,2804.0,0.0,529.10345,8388607.0,-6612.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15199,0.0,2453.0,2806.0,0.0,528.09644,8388607.0,-6336.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
